"","term","gene"
"1","LEBER OPTIC ATROPHY","4535"
"2","LEBER OPTIC ATROPHY","4536"
"3","LEBER OPTIC ATROPHY","4508"
"4","LEBER OPTIC ATROPHY","4514"
"5","LEBER OPTIC ATROPHY","4539"
"6","LEBER OPTIC ATROPHY","4538"
"7","LEBER OPTIC ATROPHY","4540"
"8","LEBER OPTIC ATROPHY","4541"
"9","LEBER OPTIC ATROPHY","4519"
"10","MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES","4535"
"11","MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES","4512"
"12","MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES","4513"
"13","MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES","4514"
"14","MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES","4540"
"15","MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES","4541"
"16","MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKEEPISODES","4519"
"17","DEAFNESS, NONSYNDROMIC SENSORINEURAL, MITOCHONDRIAL","4512"
"18","NEUROPATHY, ATAXIA, AND RETINITIS PIGMENTOSA","4508"
"19","CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 4","4607"
"20","LEFT VENTRICULAR NONCOMPACTION 10","4607"
"21","CATARACT 6, MULTIPLE TYPES","1969"
"22","PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS,AUTOSOMAL DOMINANT 4","11232"
"23","RADIOULNAR SYNOSTOSIS WITH AMEGAKARYOCYTIC THROMBOCYTOPENIA 1","3207"
"24","PULMONARY DISEASE, CHRONIC OBSTRUCTIVE","3162"
"25","PULMONARY DISEASE, CHRONIC OBSTRUCTIVE","5265"
"26","PULMONARY DISEASE, CHRONIC OBSTRUCTIVE","4312"
"27","HEME OXYGENASE 1 DEFICIENCY","3162"
"28","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2W","55679"
"29","MENTAL RETARDATION, AUTOSOMAL DOMINANT 24","10522"
"30","DYSKINESIA, SEIZURES, AND INTELLECTUAL DEVELOPMENTAL DISORDER","10522"
"31","ALZHEIMER DISEASE 9, SUSCEPTIBILITY TO","10347"
"32","SARCOIDOSIS, SUSCEPTIBILITY TO, 2","56244"
"33","PREMATURE OVARIAN FAILURE 2B","79983"
"34","MENTAL RETARDATION, AUTOSOMAL DOMINANT 10","10369"
"35","SKIN CREASES, CONGENITAL SYMMETRIC CIRCUMFERENTIAL, 1","203068"
"36","CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 6","203068"
"37","DYSTONIA 4, TORSION, AUTOSOMAL DOMINANT","10382"
"38","LEUKODYSTROPHY, HYPOMYELINATING, 6","10382"
"39","BARE LYMPHOCYTE SYNDROME, TYPE I","6890"
"40","BARE LYMPHOCYTE SYNDROME, TYPE I","6891"
"41","BARE LYMPHOCYTE SYNDROME, TYPE I","6892"
"42","ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 11","1824"
"43","HISTIOCYTOMA, ANGIOMATOID FIBROUS","1385"
"44","CARNITINE PALMITOYLTRANSFERASE I DEFICIENCY","1374"
"45","ANTERIOR SEGMENT DYSGENESIS 8","27151"
"46","MUCOPOLYSACCHARIDOSIS, TYPE IIIB","4669"
"47","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2V","4669"
"48","NEUROFIBROMATOSIS, TYPE II","4771"
"49","SCHWANNOMATOSIS 1","4771"
"50","SCHWANNOMATOSIS 1","6598"
"51","MENINGIOMA, FAMILIAL, SUSCEPTIBILITY TO","4771"
"52","MENINGIOMA, FAMILIAL, SUSCEPTIBILITY TO","5155"
"53","MENINGIOMA, FAMILIAL, SUSCEPTIBILITY TO","51684"
"54","MENINGIOMA, FAMILIAL, SUSCEPTIBILITY TO","6605"
"55","MENINGIOMA, FAMILIAL, SUSCEPTIBILITY TO","4330"
"56","MENINGIOMA, FAMILIAL, SUSCEPTIBILITY TO","5728"
"57","ROBERTS SYNDROME","157570"
"58","SC PHOCOMELIA SYNDROME","157570"
"59","NEPHROLITHIASIS/OSTEOPOROSIS, HYPOPHOSPHATEMIC, 2","9368"
"60","PROTEASOME-ASSOCIATED AUTOINFLAMMATORY SYNDROME 1","5696"
"61","RETINITIS PIGMENTOSA 78","23370"
"62","SEGAWA SYNDROME, AUTOSOMAL RECESSIVE","7054"
"63","CEREBRAL CAVERNOUS MALFORMATIONS 3","11235"
"64","METABOLIC ENCEPHALOMYOPATHIC CRISES, RECURRENT, WITH RHABDOMYOLYSIS,CARDIAC ARRHYTHMIAS, AND NEURODEGENERATION","128989"
"65","MUCOLIPIDOSIS III GAMMA","84572"
"66","NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 6","80347"
