"Donor" "Ancestry"
"GTEX-1117F" 0.845867754658684
"GTEX-111CU" 0.905889800516888
"GTEX-111FC" 0.189419916365296
"GTEX-111VG" 0.847116000484675
"GTEX-111YS" 0.040828854078427
"GTEX-1122O" 0.750679241260514
"GTEX-1128S" 0.0480070761404932
"GTEX-113IC" 0.470359428552911
"GTEX-113JC" 0.598836324410513
"GTEX-117XS" 0.946209753165022
"GTEX-117YW" 0.457650881493464
"GTEX-117YX" 0.846640484174713
"GTEX-1192W" 0.707504937425256
"GTEX-1192X" 0.059957433026284
"GTEX-11DXX" 0.90775298466906
"GTEX-11DXZ" 0.206373841268942
"GTEX-11DYG" 0.618775427807122
"GTEX-11DZ1" 0.794336236780509
"GTEX-11EI6" 0.877152559347451
"GTEX-11EM3" 0.850461661349982
"GTEX-11EMC" 0.620486037340015
"GTEX-11EQ8" 0.50652934727259
"GTEX-11EQ9" 0.944840211188421
"GTEX-11GS4" 0.52731620054692
"GTEX-11GSO" 0.658316590124741
"GTEX-11GSP" 0.921177699463442
"GTEX-11I78" 0.677519850665703
"GTEX-11LCK" 0.60184714384377
"GTEX-11NSD" 0.196929981699213
"GTEX-11NUK" 0.0368034469429404
"GTEX-11NV4" 0.745814946712926
"GTEX-11O72" 0.705802821554244
"GTEX-11OF3" 0.0892771084327251
"GTEX-11ONC" 0.567798547446728
"GTEX-11P7K" 0.40020006056875
"GTEX-11P81" 0.916275794617832
"GTEX-11P82" 0.0431805378757417
"GTEX-11PRG" 0.957755526527762
"GTEX-11TT1" 0.0152753740549088
"GTEX-11TTK" 0.331323298392817
"GTEX-11TUW" 0.861078313551843
"GTEX-11UD1" 0.363923656754196
"GTEX-11UD2" 0.906319878296927
"GTEX-11VI4" 0.885790506377816
"GTEX-11WQC" 0.113813196308911
"GTEX-11WQK" 0.388113111490384
"GTEX-11XUK" 0.571226206608117
"GTEX-11ZTS" 0.673553192522377
"GTEX-11ZTT" 0.0124727559741586
"GTEX-11ZU8" 0.279540028655902
"GTEX-11ZUS" 0.205388837028295
"GTEX-11ZVC" 0.17211116454564
"GTEX-1211K" 0.739502685610205
"GTEX-12126" 0.545279850950465
"GTEX-1212Z" 0.821815782925114
"GTEX-12584" 0.549676052294672
"GTEX-12696" 0.519005534937605
"GTEX-1269C" 0.649976809509099
"GTEX-12C56" 0.853666766779497
"GTEX-12KS4" 0.658449980895966
"GTEX-12WSA" 0.0853039138019085
"GTEX-12WSD" 0.958059125347063
"GTEX-12WSE" 0.184239404741675
"GTEX-12WSF" 0.825695508392528
"GTEX-12WSG" 0.903693656437099
"GTEX-12WSH" 0.863986805779859
"GTEX-12WSI" 0.284078418975696
"GTEX-12WSJ" 0.928244034061208
"GTEX-12WSK" 0.79311396391131
"GTEX-12WSL" 0.746121442411095
"GTEX-12WSM" 0.104285801993683
"GTEX-12WSN" 0.903674117522314
"GTEX-12ZZW" 0.701611131196842
"GTEX-12ZZX" 0.0582710595335811
"GTEX-12ZZY" 0.284685080405325
"GTEX-12ZZZ" 0.92700669192709
"GTEX-13111" 0.745315552921966
"GTEX-13112" 0.502349839545786
"GTEX-13113" 0.411456800531596
"GTEX-1313W" 0.142954268492758
"GTEX-1314G" 0.944894005777314
"GTEX-131XE" 0.313407204812393
"GTEX-131XF" 0.841522101080045
"GTEX-131XG" 0.932887426344678
"GTEX-131XH" 0.431613830151036
"GTEX-131XW" 0.505508139263839
"GTEX-131YS" 0.313771409913898
"GTEX-132AR" 0.925880676601082
"GTEX-132NY" 0.287065199343488
"GTEX-132Q8" 0.116886175936088
"GTEX-132QS" 0.657978305593133
"GTEX-1339X" 0.287486591376364
"GTEX-133LE" 0.411586102796718
"GTEX-1399Q" 0.288203456206247
"GTEX-1399R" 0.643735343124717
"GTEX-1399S" 0.633180239703506
"GTEX-1399T" 0.469756032107398
"GTEX-1399U" 0.8875567689538
"GTEX-139D8" 0.0810437416657805
"GTEX-139T4" 0.369627610314637
"GTEX-139T6" 0.450816883239895
"GTEX-139TS" 0.879115127958357
"GTEX-139TT" 0.728892092593014
"GTEX-139TU" 0.90402519563213
"GTEX-139UW" 0.79343664040789
"GTEX-139YR" 0.390184786403552
"GTEX-13CF2" 0.0834054506849498
"GTEX-13CF3" 0.687087810831144
"GTEX-13CIG" 0.879523390904069
"GTEX-13CZU" 0.323739871848375
"GTEX-13CZV" 0.920439265901223
"GTEX-13D11" 0.973755477694795
"GTEX-13FH7" 0.438499871408567
"GTEX-13FHO" 0.457764584571123
"GTEX-13FHP" 0.400793354492635
"GTEX-13FLV" 0.577236649347469
"GTEX-13FLW" 0.709881898481399
"GTEX-13FTW" 0.950790148926899
"GTEX-13FTX" 0.662052985513583
"GTEX-13FTY" 0.0344082603696734
"GTEX-13FTZ" 0.552154381992295
"GTEX-13FXS" 0.727658650605008
"GTEX-13G51" 0.568161789560691
"GTEX-13IVO" 0.429922304581851
"GTEX-13JUV" 0.95067202928476
"GTEX-13JVG" 0.443481946131214
"GTEX-13N11" 0.558860662393272
"GTEX-13N1W" 0.268149661598727
"GTEX-13N2G" 0.316756909480318
"GTEX-13NYB" 0.0123189580626786
"GTEX-13NYC" 0.398106848821044
"GTEX-13NZ8" 0.839097188552842
"GTEX-13NZ9" 0.402456736657768
"GTEX-13NZA" 0.0239784484729171
"GTEX-13NZB" 0.295138909248635
"GTEX-13O21" 0.156690481351689
"GTEX-13O3O" 0.442415300058201
"GTEX-13O3P" 0.128045546123758
"GTEX-13O3Q" 0.36892402661033
"GTEX-13O61" 0.468344758497551
"GTEX-13OVG" 0.810254632029682
"GTEX-13OVH" 0.582302176626399
"GTEX-13OVI" 0.916063385549933
"GTEX-13OVJ" 0.649586096638814
"GTEX-13OVK" 0.466520306654274
"GTEX-13OVL" 0.205458447802812
"GTEX-13OW5" 0.449157559545711
"GTEX-13OW6" 0.887249023420736
"GTEX-13OW7" 0.647905291058123
"GTEX-13OW8" 0.419123478932306
"GTEX-13PDP" 0.326620360836387
"GTEX-13PL6" 0.951744255144149
"GTEX-13PL7" 0.600263006519526
"GTEX-13PLJ" 0.925061194924638
"GTEX-13PVQ" 0.873662254074588
"GTEX-13PVR" 0.0230616983026266
"GTEX-13QBU" 0.277202355675399
"GTEX-13QIC" 0.832413241965696
"GTEX-13QJ3" 0.439532734453678
"GTEX-13QJC" 0.577338232193142
"GTEX-13RTJ" 0.538258965825662
"GTEX-13RTK" 0.451738741714507
"GTEX-13RTL" 0.0434372725430876
"GTEX-13S7M" 0.00676558795385063
"GTEX-13S86" 0.149279220728204
"GTEX-13SLW" 0.325704573187977
"GTEX-13SLX" 0.373907174216583
"GTEX-13U4I" 0.32567243417725
"GTEX-13VXT" 0.33558864146471
"GTEX-13VXU" 0.763779617380351
"GTEX-13W3W" 0.120270217768848
"GTEX-13W46" 0.253949744161218
"GTEX-13X6H" 0.273230215767398
"GTEX-13X6I" 0.310194252291694
"GTEX-13X6J" 0.825968800578266
"GTEX-13X6K" 0.605150723364204
"GTEX-13YAN" 0.760513793444261
"GTEX-1445S" 0.935266103595495
"GTEX-144FL" 0.778360757511109
"GTEX-144GL" 0.655722925439477
"GTEX-144GM" 0.559249682817608
"GTEX-145LU" 0.840020667994395
"GTEX-145MF" 0.264444382861257
"GTEX-145MG" 0.790520946960896
"GTEX-145MH" 0.92989535536617
"GTEX-145MI" 0.952583774458617
"GTEX-145MN" 0.377393963513896
"GTEX-145MO" 0.942389477044344
"GTEX-146FH" 0.0127728185616434
"GTEX-146FQ" 0.454369854414836
"GTEX-146FR" 0.278824957087636
"GTEX-14753" 0.59219399956055
"GTEX-1477Z" 0.247481865808368
"GTEX-147F3" 0.558349268045276
"GTEX-147F4" 0.880064903525636
"GTEX-147GR" 0.448626806493849
"GTEX-147JS" 0.979850596049801
"GTEX-148VI" 0.0785236428491771
"GTEX-148VJ" 0.131328515708447
"GTEX-1497J" 0.363525683991611
"GTEX-14A5H" 0.957860606024042
"GTEX-14A6H" 0.913911471376196
"GTEX-14ABY" 0.536750306142494
"GTEX-14AS3" 0.491060455562547
"GTEX-14ASI" 0.502667362336069
"GTEX-14B4R" 0.508277273504063
"GTEX-14BIL" 0.561074239434674
"GTEX-14BIM" 0.801385460421443
"GTEX-14BIN" 0.152087020687759
"GTEX-14BMU" 0.899710686644539
"GTEX-14BMV" 0.183314186055213
"GTEX-14C38" 0.533757602795959
"GTEX-14C39" 0.392378036398441
"GTEX-14C5O" 0.0535579288844019
"GTEX-14DAQ" 0.128221236169338
"GTEX-14DAR" 0.0140257521998137
